代码,名称,交易所,板块,行业,地域板块,概念题材,是否ST,日K开始日期,日K结束日期,日K行数,训练可用行数,训练可用率
000021,深科技,深交所,深市主板,消费电子,广东板块,"深圳特区,物联网,智能电网,医疗器械概念,央国企改革,超级电容,无人机,区块链,国产芯片,新能源车,半导体概念,第三代半导体,储能概念,存储芯片,电网概念",0,2023-05-26,2026-05-25,724,707,0.9765
000062,深圳华强,深交所,深市主板,其他电子Ⅱ,广东板块,"创投,深圳特区,互联网金融,电商概念,华为概念,MLCC,新能源车,半导体概念,第三代半导体,华为昇腾,华为海思",0,2023-05-26,2026-05-25,724,677,0.9351
000063,中兴通讯,深交所,深市主板,通信设备,广东板块,"深圳特区,物联网,云计算,智慧城市,智能穿戴,网络安全,在线教育,量子科技,5G概念,人工智能,工业互联,超清视频,边缘计算,国产芯片,无线耳机,IPv6,卫星互联网,数据中心,屏下摄像,无线充电,6G概念,信创,算力概念,液冷概念,AI手机,低空经济,消费电子概念,通信技术,光纤概念",0,2023-05-26,2026-05-25,724,713,0.9848
000338,潍柴动力,深交所,深市主板,汽车零部件,山东板块,"节能环保,燃料电池概念,央国企改革,一带一路,无人驾驶,氢能源,新能源车,数据中心,固态电池,电池技术",0,2023-05-26,2026-05-25,724,721,0.9959
000513,丽珠集团,深交所,深市主板,化学制药,广东板块,"生物疫苗,中药概念,基因测序,精准医疗,单抗概念,流感,辅助生殖,幽门螺杆菌概念,重组蛋白,创新药,减肥药,病原体防治",0,2023-05-26,2026-05-25,724,722,0.9972
000526,学大教育,深交所,深市主板,教育,福建板块,"在线教育,人工智能,半导体概念,职业教育",0,2023-05-26,2026-05-25,724,706,0.9751
000603,盛达资源,深交所,深市主板,贵金属,北京板块,黄金概念,0,2023-05-26,2026-05-25,716,691,0.9651
000762,西藏矿业,深交所,深市主板,能源金属,西藏板块,"稀缺资源,新材料,锂电池概念,西部大开发,央国企改革,小金属概念,锂矿概念,电池技术",0,2023-05-26,2026-05-25,724,709,0.9793
000792,盐湖股份,深交所,深市主板,农化制品,青海板块,"化工原料,稀缺资源,锂电池概念,西部大开发,央国企改革,新能源车,锂矿概念,电池技术",0,2023-05-26,2026-05-25,724,723,0.9986
000807,云铝股份,深交所,深市主板,工业金属,云南板块,"节能环保,稀缺资源,西部大开发,燃料电池概念,央国企改革,新能源车,电池技术",0,2023-05-26,2026-05-25,724,721,0.9959
000811,冰轮环境,深交所,深市主板,通用设备,山东板块,"节能环保,创投,核能核电,地热能,海洋经济,燃料电池概念,央国企改革,体育产业,冷链物流,氢能源,数据中心,氦气概念,碳交易,东数西算,中俄贸易概念,空气能热泵,熔盐储能,液冷概念,可控核聚变,冰雪经济,雅下水电概念,电池技术",0,2023-05-26,2026-05-25,724,705,0.9738
000880,潍柴重机,深交所,深市主板,汽车零部件,山东板块,"海工装备,央国企改革,数据中心,发电机概念",0,2023-05-26,2026-05-25,724,680,0.9392
000933,神火股份,深交所,深市主板,工业金属,河南板块,"煤化工概念,稀缺资源,央国企改革,钠离子电池",0,2023-05-26,2026-05-25,724,719,0.9931
000935,四川双马,深交所,深市主板,多元金融,四川板块,"创投,成渝特区,西部大开发,独角兽,医美概念,减肥药",0,2023-05-26,2026-05-25,724,715,0.9876
000938,紫光股份,深交所,深市主板,IT服务Ⅱ,北京板块,"互联网服务,创投,物联网,云计算,大数据,网络安全,安防概念,5G概念,人工智能,区块链,国产芯片,IPv6,WiFi,车联网(车路云),数字经济,东数西算,CPO概念,算力概念,液冷概念,英伟达概念,DeepSeek概念,通信技术",0,2023-05-26,2026-05-25,724,715,0.9876
000963,华东医药,深交所,深市主板,化学制药,浙江板块,"长江三角,中药概念,医疗器械概念,人工智能,冷链物流,单抗概念,医美概念,创新药,减肥药,合成生物,新消费",0,2023-05-26,2026-05-25,724,723,0.9986
001220,世盟股份,深交所,深市主板,物流,北京板块,"次新股,京津冀",0,2026-02-03,2026-05-25,70,67,0.9571
001228,永泰运,深交所,深市主板,物流,浙江板块,统一大市场,0,2023-05-26,2026-05-25,724,711,0.982
001229,魅视科技,深交所,深市主板,计算机设备,广东板块,"智慧城市,人工智能,商业航天,信创,AI应用",0,2023-05-26,2026-05-25,724,698,0.9641
001255,博菲电气,深交所,深市主板,塑料,浙江板块,"军工,节能环保,化工原料,新材料,核能核电,光伏概念,铁路基建,长江三角,风能,水利建设,新能源车,有机硅概念,磁悬浮概念,IGBT概念,BC电池",0,2023-05-26,2026-05-25,724,687,0.9489
001277,速达股份,深交所,深市主板,专用设备,河南板块,微盘股,0,2024-09-03,2026-05-25,413,399,0.9661
001279,强邦新材,深交所,深市主板,包装印刷,安徽板块,造纸印刷,0,2024-10-11,2026-05-25,392,384,0.9796
001287,中电港,深交所,深市主板,其他电子Ⅱ,广东板块,"央国企改革,国产软件,人工智能,小米概念,边缘计算,国产芯片,跨境电商,存储芯片,英伟达概念,华为海思,DeepSeek概念",0,2023-05-26,2026-05-25,724,704,0.9724
001311,多利科技,深交所,深市主板,汽车零部件,安徽板块,"特斯拉概念,新能源车,汽车一体化压铸",0,2023-05-26,2026-05-25,724,713,0.9848
001328,登康口腔,深交所,深市主板,个护用品,重庆板块,"西部大开发,医疗器械概念,央国企改革,超级品牌,零售概念",0,2023-05-26,2026-05-25,724,717,0.9903
001336,楚环科技,深交所,深市主板,环保设备Ⅱ,浙江板块,"垃圾分类,微盘股",0,2023-05-26,2026-05-25,724,700,0.9669
001388,信通电子,深交所,深市主板,电网设备,山东板块,"次新股,物联网,智能电网,国产软件,一带一路,5G概念,人工智能,工业互联,华为概念,边缘计算,WiFi,特高压,机器视觉,激光雷达,中俄贸易概念,电子身份证,机器人概念,算力概念,新型工业化,多模态AI,电网概念,通信技术",0,2025-07-01,2026-05-25,217,216,0.9954
001395,亚联机械,深交所,深市主板,专用设备,吉林板块,,0,2025-01-27,2026-05-25,317,307,0.9685
002001,新 和 成,深交所,深市主板,化学制品,浙江板块,"创投,化工原料,新材料,青蒿素,维生素",0,2023-05-26,2026-05-25,724,723,0.9986
002074,国轩高科,深交所,深市主板,电池,安徽板块,"新能源,锂电池概念,智能电网,长江三角,风能,充电桩,华为概念,新能源车,数据中心,固态电池,换电概念,储能概念,动力电池回收,飞行汽车(eVTOL),低空经济,电网概念,电池技术",0,2023-05-26,2026-05-25,724,714,0.9862
002128,电投能源,深交所,深市主板,煤炭开采,内蒙古,"稀缺资源,光伏概念,西部大开发,风能,央国企改革,并购重组概念",0,2023-05-26,2026-05-25,715,714,0.9986
002134,天津普林,深交所,深市主板,元件,天津板块,"滨海新区,大飞机,PCB",0,2023-05-26,2026-05-25,724,692,0.9558
002138,顺络电子,深交所,深市主板,元件,广东板块,"深圳特区,物联网,移动支付,燃料电池概念,无人机,5G概念,小米概念,华为概念,传感器,无线充电,被动元件概念,消费电子概念,电池技术,通信技术",0,2023-05-26,2026-05-25,724,722,0.9972
002142,宁波银行,深交所,深市主板,银行Ⅱ,浙江板块,互联网金融,0,2023-05-26,2026-05-25,724,723,0.9986
002158,汉钟精机,深交所,深市主板,通用设备,上海板块,"节能环保,光伏概念,长江三角,地热能,燃料电池概念,工业互联,冷链物流,氢能源,新能源车,半导体概念,数据中心,空气能热泵,电池技术",0,2023-05-26,2026-05-25,724,705,0.9738
002190,成飞集成,深交所,深市主板,汽车零部件,四川板块,"军工,锂电池概念,西部大开发,央国企改革,无人机,大飞机,新能源车,华为汽车,电池技术",0,2023-05-26,2026-05-25,724,697,0.9627
002261,拓维信息,深交所,深市主板,软件开发,湖南板块,"网络游戏,云计算,大数据,在线教育,阿里概念,人工智能,工业互联,独角兽,华为概念,边缘计算,智慧政务,车联网(车路云),鸿蒙概念,华为昇腾,华为欧拉,东数西算,机器人概念,信创,液冷概念,DeepSeek概念",0,2023-05-26,2026-05-25,724,683,0.9434
002273,水晶光电,深交所,深市主板,光学光电子,浙江板块,"光伏概念,长江三角,智能穿戴,苹果概念,安防概念,蓝宝石,虚拟现实,增强现实,无人驾驶,小米概念,独角兽,超清视频,3D摄像头,生物识别,激光雷达,元宇宙概念,AI手机,荣耀概念,AI眼镜,人形机器人,消费电子概念,显示技术",0,2023-05-26,2026-05-25,724,713,0.9848
002294,信立泰,深交所,深市主板,化学制药,广东板块,"深圳特区,参股保险,医疗器械概念,单抗概念,创新药,减肥药",0,2023-05-26,2026-05-25,724,713,0.9848
002315,焦点科技,深交所,深市主板,互联网电商,江苏板块,"互联网服务,创投,长江三角,互联网金融,在线教育,电商概念,人工智能,AI智能体,信创,AIGC概念,跨境电商,ERP概念,AI应用",0,2023-05-26,2026-05-25,724,702,0.9696
002352,顺丰控股,深交所,深市主板,物流,广东板块,"深圳特区,云计算,大数据,无人机,人工智能,军民融合,区块链,冷链物流,车联网(车路云),快递概念,REITs概念,跨境电商,低空经济",0,2023-05-26,2026-05-25,724,724,1.0
002378,章源钨业,深交所,深市主板,小金属,江西板块,"稀缺资源,小金属概念",0,2023-05-26,2026-05-25,724,703,0.971
