ts_code,name,parent_code,level,industry_code,is_pub,src
801179.SI,铁路公路,420000,L2,420900,1,SW2021
801181.SI,房地产开发,430000,L2,430100,1,SW2021
801183.SI,房地产服务,430000,L2,430300,1,SW2021
801191.SI,多元金融,490000,L2,490300,1,SW2021
801193.SI,证券Ⅱ,490000,L2,490100,1,SW2021
801194.SI,保险Ⅱ,490000,L2,490200,1,SW2021
801202.SI,贸易Ⅱ,450000,L2,450200,1,SW2021
801203.SI,一般零售,450000,L2,450300,1,SW2021
801204.SI,专业连锁Ⅱ,450000,L2,450400,1,SW2021
801206.SI,互联网电商,450000,L2,450600,1,SW2021
801207.SI,旅游零售Ⅱ,450000,L2,450700,0,SW2021
801216.SI,体育Ⅱ,460000,L2,460600,0,SW2021
801217.SI,本地生活服务Ⅱ,460000,L2,460700,0,SW2021
801218.SI,专业服务,460000,L2,460800,1,SW2021
801219.SI,酒店餐饮,460000,L2,460900,1,SW2021
801223.SI,通信服务,730000,L2,730100,1,SW2021
801231.SI,综合Ⅱ,510000,L2,510100,1,SW2021
801711.SI,水泥,610000,L2,610100,1,SW2021
801712.SI,玻璃玻纤,610000,L2,610200,1,SW2021
801713.SI,装修建材,610000,L2,610300,1,SW2021
801721.SI,房屋建设Ⅱ,620000,L2,620100,1,SW2021
801722.SI,装修装饰Ⅱ,620000,L2,620200,1,SW2021
801723.SI,基础建设,620000,L2,620300,1,SW2021
801724.SI,专业工程,620000,L2,620400,1,SW2021
801726.SI,工程咨询服务Ⅱ,620000,L2,620600,1,SW2021
801731.SI,电机Ⅱ,630000,L2,630100,1,SW2021
801733.SI,其他电源设备Ⅱ,630000,L2,630300,1,SW2021
801735.SI,光伏设备,630000,L2,630500,1,SW2021
801736.SI,风电设备,630000,L2,630600,1,SW2021
801737.SI,电池,630000,L2,630700,1,SW2021
801738.SI,电网设备,630000,L2,630800,1,SW2021
801741.SI,航天装备Ⅱ,650000,L2,650100,1,SW2021
801742.SI,航空装备Ⅱ,650000,L2,650200,1,SW2021
801743.SI,地面兵装Ⅱ,650000,L2,650300,1,SW2021
801744.SI,航海装备Ⅱ,650000,L2,650400,1,SW2021
801745.SI,军工电子Ⅱ,650000,L2,650500,1,SW2021
801764.SI,游戏Ⅱ,720000,L2,720400,1,SW2021
801765.SI,广告营销,720000,L2,720500,1,SW2021
801766.SI,影视院线,720000,L2,720600,1,SW2021
801767.SI,数字媒体,720000,L2,720700,1,SW2021
801768.SI,社交Ⅱ,720000,L2,720800,0,SW2021
801769.SI,出版,720000,L2,720900,1,SW2021
801782.SI,国有大型银行Ⅱ,480000,L2,480200,1,SW2021
801783.SI,股份制银行Ⅱ,480000,L2,480300,1,SW2021
801784.SI,城商行Ⅱ,480000,L2,480400,1,SW2021
801785.SI,农商行Ⅱ,480000,L2,480500,1,SW2021
801786.SI,其他银行Ⅱ,480000,L2,480600,0,SW2021
801881.SI,摩托车及其他,280000,L2,280400,1,SW2021
801951.SI,煤炭开采,740000,L2,740100,1,SW2021
801952.SI,焦炭Ⅱ,740000,L2,740200,1,SW2021
801961.SI,油气开采Ⅱ,750000,L2,750100,0,SW2021
801962.SI,油服工程,750000,L2,750200,1,SW2021
801963.SI,炼化及贸易,750000,L2,750300,1,SW2021
801971.SI,环境治理,760000,L2,760100,1,SW2021
801972.SI,环保设备Ⅱ,760000,L2,760200,1,SW2021
801981.SI,个护用品,770000,L2,770100,1,SW2021
801982.SI,化妆品,770000,L2,770200,1,SW2021
801983.SI,医疗美容,770000,L2,770300,0,SW2021
801991.SI,航空机场,420000,L2,421000,1,SW2021
801992.SI,航运港口,420000,L2,421100,1,SW2021
801993.SI,旅游及景区,460000,L2,461000,1,SW2021
801994.SI,教育,460000,L2,461100,1,SW2021
801995.SI,电视广播Ⅱ,720000,L2,721000,1,SW2021
850111.SI,种子,110100,L3,110101,1,SW2021
850112.SI,粮食种植,110100,L3,110102,0,SW2021
850113.SI,其他种植业,110100,L3,110103,1,SW2021
850114.SI,食用菌,110100,L3,110104,0,SW2021
850121.SI,海洋捕捞,110200,L3,110201,0,SW2021
850122.SI,水产养殖,110200,L3,110202,1,SW2021
850131.SI,林业Ⅲ,110300,L3,110301,0,SW2021
850135.SI,食品及饲料添加剂,220300,L3,220315,1,SW2021
850136.SI,有机硅,220300,L3,220316,1,SW2021
850137.SI,胶黏剂及胶带,220300,L3,220317,0,SW2021
850142.SI,畜禽饲料,110400,L3,110402,1,SW2021
850143.SI,水产饲料,110400,L3,110403,0,SW2021
850144.SI,宠物食品,110400,L3,110404,0,SW2021
850151.SI,果蔬加工,110500,L3,110501,1,SW2021
850152.SI,粮油加工,110500,L3,110502,1,SW2021
850154.SI,其他农产品加工,110500,L3,110504,1,SW2021
850172.SI,生猪养殖,110700,L3,110702,1,SW2021
850173.SI,肉鸡养殖,110700,L3,110703,1,SW2021
850174.SI,其他养殖,110700,L3,110704,0,SW2021
850181.SI,动物保健Ⅲ,110800,L3,110801,1,SW2021
850191.SI,农业综合Ⅲ,110900,L3,110901,0,SW2021
850232.SI,汽车经销商,280300,L3,280302,1,SW2021
850233.SI,汽车综合服务,280300,L3,280303,1,SW2021
850321.SI,纯碱,220200,L3,220201,0,SW2021
850322.SI,氯碱,220200,L3,220202,1,SW2021
850323.SI,无机盐,220200,L3,220203,1,SW2021
850324.SI,其他化学原料,220200,L3,220204,1,SW2021
850325.SI,煤化工,220200,L3,220205,1,SW2021
850326.SI,钛白粉,220200,L3,220206,1,SW2021
850331.SI,氮肥,220800,L3,220801,1,SW2021
850332.SI,磷肥及磷化工,220800,L3,220802,1,SW2021
850333.SI,农药,220800,L3,220803,1,SW2021
850335.SI,涂料油墨,220300,L3,220305,1,SW2021
850336.SI,钾肥,220800,L3,220804,0,SW2021
850337.SI,民爆制品,220300,L3,220307,1,SW2021
850338.SI,纺织化学制品,220300,L3,220308,1,SW2021
850339.SI,其他化学制品,220300,L3,220309,1,SW2021
850341.SI,涤纶,220400,L3,220401,1,SW2021
850343.SI,粘胶,220400,L3,220403,1,SW2021
850344.SI,其他化学纤维,220400,L3,220404,0,SW2021
850345.SI,氨纶,220400,L3,220405,0,SW2021
850346.SI,锦纶,220400,L3,220406,0,SW2021
850351.SI,其他塑料制品,220500,L3,220501,1,SW2021
850353.SI,改性塑料,220500,L3,220503,1,SW2021
850354.SI,合成树脂,220500,L3,220504,1,SW2021
850355.SI,膜材料,220500,L3,220505,1,SW2021
850362.SI,其他橡胶制品,220600,L3,220602,1,SW2021
850363.SI,炭黑,220600,L3,220603,1,SW2021
850364.SI,橡胶助剂,220600,L3,220604,0,SW2021
850372.SI,聚氨酯,220300,L3,220313,1,SW2021
850381.SI,复合肥,220800,L3,220805,1,SW2021
850382.SI,氟化工,220300,L3,220311,1,SW2021
850401.SI,特钢Ⅲ,230500,L3,230501,1,SW2021
850431.SI,铁矿石,230300,L3,230301,0,SW2021
850432.SI,冶钢辅料,230300,L3,230302,0,SW2021
850441.SI,长材,230400,L3,230401,0,SW2021
850442.SI,板材,230400,L3,230402,1,SW2021
850443.SI,钢铁管材,230400,L3,230403,0,SW2021
850521.SI,其他金属新材料,240200,L3,240201,1,SW2021
850522.SI,磁性材料,240200,L3,240202,1,SW2021
850523.SI,非金属材料Ⅲ,220900,L3,220901,1,SW2021
850531.SI,黄金,240400,L3,240401,1,SW2021
850532.SI,白银,240400,L3,240402,0,SW2021
850541.SI,稀土,240500,L3,240501,0,SW2021
850542.SI,钨,240500,L3,240502,0,SW2021
850543.SI,锂,240600,L3,240603,0,SW2021
850544.SI,其他小金属,240500,L3,240504,1,SW2021
850545.SI,钼,240500,L3,240505,0,SW2021
850551.SI,铝,240300,L3,240301,1,SW2021
850552.SI,铜,240300,L3,240302,1,SW2021
850553.SI,铅锌,240300,L3,240303,1,SW2021
850561.SI,钴,240600,L3,240601,0,SW2021
850562.SI,镍,240600,L3,240602,0,SW2021
850614.SI,其他建材,610300,L3,610303,1,SW2021
850615.SI,耐火材料,610300,L3,610301,1,SW2021
850616.SI,管材,610300,L3,610302,1,SW2021
850617.SI,防水材料,610300,L3,610304,0,SW2021
850618.SI,涂料,610300,L3,610305,0,SW2021
850623.SI,房屋建设Ⅲ,620100,L3,620101,1,SW2021
850702.SI,安防设备,710100,L3,710102,1,SW2021
850703.SI,其他计算机设备,710100,L3,710103,1,SW2021
850711.SI,机床工具,640100,L3,640101,1,SW2021
850713.SI,磨具磨料,640100,L3,640103,1,SW2021
850715.SI,制冷空调设备,640100,L3,640105,1,SW2021
850716.SI,其他通用设备,640100,L3,640106,1,SW2021
850721.SI,纺织服装设备,640200,L3,640206,1,SW2021
850723.SI,农用机械,640200,L3,640207,0,SW2021
850725.SI,能源及重型设备,640200,L3,640203,1,SW2021
850726.SI,印刷包装机械,640200,L3,640208,1,SW2021
850727.SI,其他专用设备,640200,L3,640209,1,SW2021
850728.SI,楼宇设备,640200,L3,640204,1,SW2021
850731.SI,仪器仪表,640100,L3,640107,1,SW2021
850741.SI,电机Ⅲ,630100,L3,630101,1,SW2021
850751.SI,金属制品,640100,L3,640108,1,SW2021
850771.SI,工程机械整机,640600,L3,640601,1,SW2021
850772.SI,工程机械器件,640600,L3,640602,1,SW2021
850781.SI,机器人,640700,L3,640701,1,SW2021
850782.SI,工控设备,640700,L3,640702,1,SW2021
850783.SI,激光设备,640700,L3,640703,1,SW2021
850784.SI,其他自动化设备,640700,L3,640704,1,SW2021
850812.SI,分立器件,270100,L3,270102,1,SW2021
850813.SI,半导体材料,270100,L3,270103,1,SW2021
850814.SI,数字芯片设计,270100,L3,270104,1,SW2021
850815.SI,模拟芯片设计,270100,L3,270105,1,SW2021
850816.SI,集成电路制造,270100,L3,270106,0,SW2021
850817.SI,集成电路封测,270100,L3,270107,1,SW2021
850818.SI,半导体设备,270100,L3,270108,1,SW2021
850822.SI,印制电路板,270200,L3,270202,1,SW2021
850823.SI,被动元件,270200,L3,270203,1,SW2021
850831.SI,面板,270300,L3,270301,1,SW2021
850832.SI,LED,270300,L3,270302,1,SW2021
850833.SI,光学元件,270300,L3,270303,1,SW2021
850841.SI,其他电子Ⅲ,270400,L3,270401,1,SW2021
850853.SI,品牌消费电子,270500,L3,270503,1,SW2021
850854.SI,消费电子零部件及组装,270500,L3,270504,1,SW2021
850861.SI,电子化学品Ⅲ,270600,L3,270601,1,SW2021
850912.SI,商用载货车,280600,L3,280601,1,SW2021
850913.SI,商用载客车,280600,L3,280602,1,SW2021
850922.SI,车身附件及饰件,280200,L3,280202,1,SW2021
850923.SI,底盘与发动机系统,280200,L3,280203,1,SW2021
850924.SI,轮胎轮毂,280200,L3,280204,1,SW2021
850925.SI,其他汽车零部件,280200,L3,280205,1,SW2021
850926.SI,汽车电子电气系统,280200,L3,280206,1,SW2021
850935.SI,航海装备Ⅲ,650400,L3,650401,1,SW2021
850936.SI,轨交设备Ⅲ,640500,L3,640501,1,SW2021
850951.SI,电动乘用车,280500,L3,280501,0,SW2021
850952.SI,综合乘用车,280500,L3,280502,1,SW2021
851024.SI,通信网络设备及器件,730200,L3,730204,1,SW2021
851025.SI,通信线缆及配套,730200,L3,730205,1,SW2021
851026.SI,通信终端及配件,730200,L3,730206,1,SW2021
851027.SI,其他通信设备,730200,L3,730207,1,SW2021
851041.SI,垂直应用软件,710400,L3,710401,1,SW2021
851042.SI,横向通用软件,710400,L3,710402,1,SW2021
851112.SI,空调,330100,L3,330102,1,SW2021
851116.SI,冰洗,330100,L3,330106,1,SW2021
851121.SI,彩电,330200,L3,330201,0,SW2021
851122.SI,其他黑色家电,330200,L3,330202,1,SW2021
851131.SI,厨房小家电,330300,L3,330301,1,SW2021
851132.SI,清洁小家电,330300,L3,330302,0,SW2021
851133.SI,个护小家电,330300,L3,330303,0,SW2021
851141.SI,厨房电器,330400,L3,330401,1,SW2021
851142.SI,卫浴电器,330400,L3,330402,0,SW2021
851151.SI,照明设备Ⅲ,330500,L3,330501,1,SW2021
851161.SI,家电零部件Ⅲ,330600,L3,330601,1,SW2021
851171.SI,其他家电Ⅲ,330700,L3,330701,0,SW2021
851232.SI,啤酒,340600,L3,340601,1,SW2021
851233.SI,其他酒类,340600,L3,340602,1,SW2021
851241.SI,肉制品,340400,L3,340401,1,SW2021
851242.SI,调味发酵品Ⅲ,340900,L3,340901,1,SW2021
851243.SI,乳品,340700,L3,340702,1,SW2021
851244.SI,其他食品,340400,L3,340404,0,SW2021
851246.SI,预加工食品,340400,L3,340406,1,SW2021
851247.SI,保健品,340400,L3,340407,1,SW2021
851251.SI,白酒Ⅲ,340500,L3,340501,1,SW2021
851271.SI,软饮料,340700,L3,340701,1,SW2021
851281.SI,零食,340800,L3,340801,1,SW2021
851282.SI,烘焙食品,340800,L3,340802,1,SW2021
851283.SI,熟食,340800,L3,340803,0,SW2021
851312.SI,棉纺,350100,L3,350102,1,SW2021
851314.SI,印染,350100,L3,350104,1,SW2021
851315.SI,辅料,350100,L3,350105,1,SW2021
851316.SI,其他纺织,350100,L3,350106,1,SW2021
851317.SI,纺织鞋类制造,350100,L3,350107,0,SW2021
851325.SI,鞋帽及其他,350200,L3,350205,1,SW2021
851326.SI,家纺,350200,L3,350206,1,SW2021
851328.SI,运动服装,350200,L3,350208,0,SW2021
851329.SI,非运动服装,350200,L3,350209,1,SW2021
851331.SI,钟表珠宝,350300,L3,350301,1,SW2021
851332.SI,多品类奢侈品,350300,L3,350302,0,SW2021
851333.SI,其他饰品,350300,L3,350303,0,SW2021
851412.SI,大宗用纸,360100,L3,360102,1,SW2021
851413.SI,特种纸,360100,L3,360103,1,SW2021
851422.SI,印刷,360200,L3,360202,1,SW2021
851423.SI,金属包装,360200,L3,360203,1,SW2021
851424.SI,塑料包装,360200,L3,360204,1,SW2021
851425.SI,纸包装,360200,L3,360205,1,SW2021
851426.SI,综合包装,360200,L3,360206,0,SW2021
851436.SI,瓷砖地板,360300,L3,360306,1,SW2021
851437.SI,成品家居,360300,L3,360307,1,SW2021
851438.SI,定制家居,360300,L3,360308,1,SW2021
851439.SI,卫浴制品,360300,L3,360309,1,SW2021
851451.SI,文化用品,360500,L3,360501,0,SW2021
851452.SI,娱乐用品,360500,L3,360502,1,SW2021
851491.SI,其他家居用品,360300,L3,360311,1,SW2021
851511.SI,原料药,370100,L3,370101,1,SW2021
851512.SI,化学制剂,370100,L3,370102,1,SW2021
851521.SI,中药Ⅲ,370200,L3,370201,1,SW2021
851522.SI,血液制品,370300,L3,370302,1,SW2021
851523.SI,疫苗,370300,L3,370303,1,SW2021
851524.SI,其他生物制品,370300,L3,370304,1,SW2021
851532.SI,医疗设备,370500,L3,370502,1,SW2021
851533.SI,医疗耗材,370500,L3,370503,1,SW2021
851534.SI,体外诊断,370500,L3,370504,1,SW2021
851542.SI,医药流通,370400,L3,370402,1,SW2021
851543.SI,线下药店,370400,L3,370403,1,SW2021
851544.SI,互联网药店,370400,L3,370404,0,SW2021
851562.SI,诊断服务,370600,L3,370602,0,SW2021
851563.SI,医疗研发外包,370600,L3,370603,1,SW2021
851564.SI,医院,370600,L3,370604,1,SW2021
851565.SI,其他医疗服务,370600,L3,370605,0,SW2021
851610.SI,电能综合服务,410100,L3,410110,1,SW2021
851611.SI,火力发电,410100,L3,410101,1,SW2021
851612.SI,水力发电,410100,L3,410102,1,SW2021
851614.SI,热力服务,410100,L3,410104,1,SW2021
851616.SI,光伏发电,410100,L3,410106,1,SW2021
851617.SI,风力发电,410100,L3,410107,1,SW2021
851618.SI,核力发电,410100,L3,410108,0,SW2021
851619.SI,其他能源发电,410100,L3,410109,0,SW2021
851631.SI,燃气Ⅲ,410300,L3,410301,1,SW2021
851711.SI,港口,421100,L3,421102,1,SW2021
851721.SI,公交,420900,L3,420902,1,SW2021
851731.SI,高速公路,420900,L3,420901,1,SW2021
851741.SI,航空运输,421000,L3,421001,1,SW2021
851751.SI,机场,421000,L3,421002,0,SW2021
851761.SI,航运,421100,L3,421101,1,SW2021
851771.SI,铁路运输,420900,L3,420903,1,SW2021
851782.SI,原材料供应链服务,420800,L3,420802,1,SW2021
851783.SI,中间产品及消费品供应链服务,420800,L3,420803,1,SW2021
851784.SI,快递,420800,L3,420804,1,SW2021
851785.SI,跨境物流,420800,L3,420805,1,SW2021
851786.SI,仓储物流,420800,L3,420806,1,SW2021
851787.SI,公路货运,420800,L3,420807,1,SW2021
851811.SI,住宅开发,430100,L3,430101,1,SW2021
851812.SI,商业地产,430100,L3,430102,1,SW2021
851813.SI,产业地产,430100,L3,430103,1,SW2021
851831.SI,物业管理,430300,L3,430301,1,SW2021
851832.SI,房产租赁经纪,430300,L3,430302,0,SW2021
851833.SI,房地产综合服务,430300,L3,430303,0,SW2021
851922.SI,金融控股,490300,L3,490302,1,SW2021
851923.SI,期货,490300,L3,490303,0,SW2021
851924.SI,信托,490300,L3,490304,0,SW2021
851925.SI,租赁,490300,L3,490305,0,SW2021
851926.SI,金融信息服务,490300,L3,490306,0,SW2021
851927.SI,资产管理,490300,L3,490307,1,SW2021
851928.SI,其他多元金融,490300,L3,490308,0,SW2021
851931.SI,证券Ⅲ,490100,L3,490101,1,SW2021
851941.SI,保险Ⅲ,490200,L3,490201,1,SW2021
852021.SI,贸易Ⅲ,450200,L3,450201,1,SW2021
852031.SI,百货,450300,L3,450301,1,SW2021
852032.SI,超市,450300,L3,450302,1,SW2021
852033.SI,多业态零售,450300,L3,450303,1,SW2021
852034.SI,商业物业经营,450300,L3,450304,1,SW2021
852041.SI,专业连锁Ⅲ,450400,L3,450401,1,SW2021
852061.SI,综合电商,450600,L3,450601,0,SW2021
852062.SI,跨境电商,450600,L3,450602,1,SW2021
852063.SI,电商服务,450600,L3,450603,1,SW2021
852071.SI,旅游零售Ⅲ,450700,L3,450701,0,SW2021
852111.SI,人工景区,461000,L3,461002,1,SW2021
852112.SI,自然景区,461000,L3,461003,1,SW2021
852121.SI,酒店,460900,L3,460901,1,SW2021
852131.SI,旅游综合,461000,L3,461004,1,SW2021
852141.SI,餐饮,460900,L3,460902,0,SW2021
852161.SI,体育Ⅲ,460600,L3,460601,0,SW2021
852171.SI,本地生活服务Ⅲ,460700,L3,460701,0,SW2021
852181.SI,人力资源服务,460800,L3,460801,0,SW2021
852182.SI,检测服务,460800,L3,460802,1,SW2021
852183.SI,会展服务,460800,L3,460803,1,SW2021
852184.SI,其他专业服务,460800,L3,460804,0,SW2021
852212.SI,电信运营商,730100,L3,730102,0,SW2021
852213.SI,通信工程及服务,730100,L3,730103,1,SW2021
852214.SI,通信应用增值服务,730100,L3,730104,1,SW2021
852226.SI,IT服务Ⅲ,710300,L3,710301,1,SW2021
852311.SI,综合Ⅲ,510100,L3,510101,1,SW2021
857111.SI,水泥制造,610100,L3,610101,1,SW2021
857112.SI,水泥制品,610100,L3,610102,1,SW2021
857121.SI,玻璃制造,610200,L3,610201,1,SW2021
857122.SI,玻纤制造,610200,L3,610202,1,SW2021
857221.SI,装修装饰Ⅲ,620200,L3,620201,1,SW2021
857236.SI,基建市政工程,620300,L3,620306,1,SW2021
857241.SI,钢结构,620400,L3,620401,1,SW2021
857242.SI,化学工程,620400,L3,620402,1,SW2021
857243.SI,国际工程,620400,L3,620403,1,SW2021
857244.SI,其他专业工程,620400,L3,620404,1,SW2021
857251.SI,园林工程,620300,L3,620307,1,SW2021
857261.SI,工程咨询服务Ⅲ,620600,L3,620601,1,SW2021
857321.SI,电网自动化设备,630800,L3,630803,1,SW2021
857323.SI,电工仪器仪表,630800,L3,630804,1,SW2021
857331.SI,综合电力设备商,630300,L3,630301,0,SW2021
857334.SI,火电设备,630300,L3,630304,1,SW2021
857336.SI,其他电源设备Ⅲ,630300,L3,630306,1,SW2021
857344.SI,线缆部件及其他,630800,L3,630805,1,SW2021
857351.SI,硅料硅片,630500,L3,630501,0,SW2021
857352.SI,光伏电池组件,630500,L3,630502,1,SW2021
857353.SI,逆变器,630500,L3,630503,0,SW2021
857354.SI,光伏辅材,630500,L3,630504,1,SW2021
857355.SI,光伏加工设备,630500,L3,630505,1,SW2021
857361.SI,风电整机,630600,L3,630601,0,SW2021
857362.SI,风电零部件,630600,L3,630602,1,SW2021
857371.SI,锂电池,630700,L3,630701,1,SW2021
857372.SI,电池化学品,630700,L3,630702,1,SW2021
857373.SI,锂电专用设备,630700,L3,630703,1,SW2021
857374.SI,燃料电池,630700,L3,630704,0,SW2021
857375.SI,蓄电池及其他电池,630700,L3,630705,1,SW2021
857381.SI,输变电设备,630800,L3,630801,1,SW2021
857382.SI,配电设备,630800,L3,630802,1,SW2021
857411.SI,航天装备Ⅲ,650100,L3,650101,1,SW2021
857421.SI,航空装备Ⅲ,650200,L3,650201,1,SW2021
857431.SI,地面兵装Ⅲ,650300,L3,650301,1,SW2021
857451.SI,军工电子Ⅲ,650500,L3,650501,1,SW2021
857641.SI,游戏Ⅲ,720400,L3,720401,1,SW2021
857651.SI,营销代理,720500,L3,720501,1,SW2021
857652.SI,广告媒体,720500,L3,720502,0,SW2021
857661.SI,影视动漫制作,720600,L3,720601,1,SW2021
857662.SI,院线,720600,L3,720602,0,SW2021
857671.SI,视频媒体,720700,L3,720701,0,SW2021
857672.SI,音频媒体,720700,L3,720702,0,SW2021
857673.SI,图片媒体,720700,L3,720703,0,SW2021
857674.SI,门户网站,720700,L3,720704,1,SW2021
857675.SI,文字媒体,720700,L3,720705,0,SW2021
857676.SI,其他数字媒体,720700,L3,720706,0,SW2021
857681.SI,社交Ⅲ,720800,L3,720801,0,SW2021
857691.SI,教育出版,720900,L3,720901,1,SW2021
857692.SI,大众出版,720900,L3,720902,1,SW2021
857693.SI,其他出版,720900,L3,720903,0,SW2021
857821.SI,国有大型银行Ⅲ,480200,L3,480201,1,SW2021
857831.SI,股份制银行Ⅲ,480300,L3,480301,1,SW2021
857841.SI,城商行Ⅲ,480400,L3,480401,1,SW2021
857851.SI,农商行Ⅲ,480500,L3,480501,1,SW2021
857861.SI,其他银行Ⅲ,480600,L3,480601,0,SW2021
858811.SI,其他运输设备,280400,L3,280401,1,SW2021
858812.SI,摩托车,280400,L3,280402,1,SW2021
859511.SI,动力煤,740100,L3,740101,1,SW2021
